normalized_title,title,access_type,source_url,evidence,searched_at
atomic energy act of 1954,Atomic Energy Act of 1954,direct,https://www.energy.gov/sites/prod/files/2017/10/f38/Atomic%20Energy%20Act%20of%201954%20(AEA)%20in%20U.S.C..pdf,"Search surfaced an official U.S. Department of Energy-hosted PDF of the full Atomic Energy Act of 1954 as codified in U.S.C., alongside DOE's 'Atomic Energy Act and Related Legislation' landing page.",2026-08-08T05:22:03.808390+00:00
project blue book,Project Blue Book,direct,https://www.archives.gov/research/military/air-force/ufos,"The National Archives' official 'Project BLUE BOOK - Unidentified Flying Objects' reference page appeared in results, describing the USAF fact sheet and reference reports on the records.",2026-08-08T05:22:03.808390+00:00
the age of disclosure,The Age of Disclosure,direct,https://www.primevideo.com/detail/The-Age-of-Disclosure/0NVVP9AVUZEJKG9CJC4RQE9J27,"Search returned the Amazon Prime Video title page for Dan Farah's documentary, corroborated by a Motion Picture Association piece noting its Prime Video release.",2026-08-08T05:22:03.809390+00:00
the telepathy tapes,The Telepathy Tapes,direct,https://thetelepathytapes.com/podcast,"The official Telepathy Tapes website's podcast page surfaced in search, along with its 'Meet Ky Dickens' page confirming she is the creator.",2026-08-08T05:22:03.809390+00:00
project blue book files,Project Blue Book files,direct,https://www.theblackvault.com/casefiles/category/ufos/project-blue-book-cases/,"The Black Vault, a well-known civilian FOIA repository, hosts a browsable Project Blue Book case file collection drawn from the National Archives holdings, which surfaced directly in search.",2026-08-08T05:22:03.809390+00:00
immaculate constellation report,Immaculate Constellation report,direct,https://archive.org/details/phenomena-investigated-under-the-immaculate-constellation-program-uap-tuo-nhi-2024-11-13,"An Internet Archive item hosting the full leaked 'Immaculate Constellation' document on UAP/TUO/NHI (dated 2024-11-13) appeared in results, with a matching full-text mirror also indexed.",2026-08-08T05:22:03.810394+00:00
moment of contact,Moment of Contact,direct,https://tubitv.com/movies/100004003/moment-of-contact,"Search surfaced a free, ad-supported Tubi stream of James Fox's 2022 documentary, with Prime Video and Apple TV listings confirming the title.",2026-08-08T05:22:03.810394+00:00
robertson panel report,Robertson Panel report,direct,https://www.cia.gov/readingroom/document/0005516124,The CIA FOIA Reading Room record titled 'Report of the Scientific Panel on Unidentified Flying Objects (with cover memo dated 530312)' surfaced in search and is the official CIA-hosted Robertson Panel report.,2026-08-08T05:22:03.810394+00:00
zapruder film,Zapruder film,direct,https://archive.org/details/img-1981,"An Internet Archive item titled 'The Zapruder Film' credited to Abraham Zapruder, dated 1963-11-22, surfaced in search; the National Archives holds the original but does not stream it online.",2026-08-08T05:22:03.810394+00:00
majestic 12 documents,Majestic 12 documents,direct,https://vault.fbi.gov/Majestic%2012,"The FBI's official electronic reading room (The Vault) has a dedicated 'Majestic 12' file, which surfaced in search along with a Black Vault mirror of the same FBI file.",2026-08-08T05:22:03.811723+00:00
twining memo 1947,Twining Memo (1947),direct,http://www.nicap.org/doc005.htm,"NICAP's document archive page reproduces the 23 September 1947 letter titled 'AMC Opinion Concerning ""Flying Discs""' addressed to Brig. Gen. George Schulgen, matching the Twining memo.",2026-08-08T05:22:03.811723+00:00
wilson davis memo,Wilson-Davis memo,direct,https://archive.org/details/annotated_wilson_memo,"Search returned an Internet Archive item hosting the annotated Admiral Thomas Wilson / Dr. Eric W. Davis memo, viewable in full.",2026-08-08T05:22:03.811723+00:00
age of disclosure,Age of Disclosure,direct,https://www.primevideo.com/detail/The-Age-of-Disclosure/0NVVP9AVUZEJKG9CJC4RQE9J27,Same documentary as the earlier entry; the Prime Video title page for Dan Farah's film surfaced in search results.,2026-08-08T05:22:03.811723+00:00
condon report scientific study of unidentified flying objects,Condon Report (Scientific Study of Unidentified Flying Objects),direct,https://archive.org/details/scientificstudyo0000unse_l5t2,An Internet Archive scan of the 'Final report of the scientific study of unidentified flying objects conducted by the University of Colorado' surfaced in search; The Black Vault also hosts a full copy.,2026-08-08T05:22:03.812726+00:00
los alamos primer,Los Alamos Primer,direct,https://archive.org/details/LosAlamosPrimer,"An Internet Archive item credited to 'Robert Serber and Edward Condon' hosts the Los Alamos Primer, matching the Condon/Manhattan Project attribution given.",2026-08-08T05:22:03.813230+00:00
majestic 12 mj 12 documents,Majestic 12 (MJ-12) documents,direct,https://vault.fbi.gov/Majestic%2012,"Search surfaced the FBI's official electronic FOIA library (The Vault) page for Majestic 12, which hosts the scanned MJ-12 memo file and notes the Air Force investigation concluded the document was fake.",2026-08-08T05:26:40.244572+00:00
mj 12 documents,MJ-12 documents,direct,https://www.theblackvault.com/documentarchive/majestic-12/,"Search surfaced The Black Vault's dedicated Majestic-12 document archive, a reputable FOIA-release repository hosting the FBI's MJ-12 file plus files on alleged MJ-12 members.",2026-08-08T05:26:40.244572+00:00
ufos past present and future,"UFOs: Past, Present and Future",direct,https://www.youtube.com/watch?v=uNqtpO-TmEs,"Search surfaced a full-length upload of the 1974 Emenegger documentary narrated by Rod Serling; no government or archive.org copy appeared in results, so this is the best publicly viewable source found.",2026-08-08T05:26:40.244572+00:00
2017 new york times article on the pentagon ufo program,2017 New York Times article on the Pentagon UFO program,direct,https://www.nicap.org/reports2/2004_20171216_NYTArt_1.pdf,"Search surfaced a NICAP-hosted PDF of the Dec. 16, 2017 article ""Glowing Auras and 'Black Money': The Pentagon's Mysterious U.F.O. Program""; the original nytimes.com URL did not appear in results, and NICAP is a listed reputable archive.",2026-08-08T05:26:40.245594+00:00
atomic energy act,Atomic Energy Act,direct,https://www.congress.gov/bill/83rd-congress/house-bill/9757/text,"Search surfaced the official Congress.gov text page for H.R.9757, the Atomic Energy Act of 1954 (the successor/consolidated act, since the 1946 McMahon Act is listed separately below).",2026-08-08T05:26:40.245594+00:00
